"","sI","tI","rho","av_accuracy","av_search","av_accuracy_s1","av_accuracy_s0"
"152",3.13834420066129,1,0.8,0.625,0.141647970600399,0.87987244205631,0.928418262856199
"153",2.59524236883453,1,0.8,0.65,0.183725848548007,0.874203712379892,0.927515591285288
"154",2.20379754343486,1,0.8,0.675,0.224875317053835,0.869180060674407,0.927754284135994
"155",1.90693940178649,1,0.8,0.7,0.255813613571089,0.864610470288193,0.927236562315659
"156",1.6729118528206,1,0.8,0.725,0.281034166511076,0.86081479374876,0.927100712702917
"157",1.4826022185056,1,0.8,0.75,0.298452736575247,0.857864875119857,0.926956833749037
"158",1.32377562678085,1,0.8,0.775,0.302305007109402,0.855681929834233,0.925605636762373
"159",1.18818294989389,1,0.8,0.8,0.305852829447798,0.855911426250396,0.926294132549043
"160",1.06998872076887,1,0.8,0.825,0.293440330074979,0.85798890463728,0.926198747108361
"161",0.964847341022481,1,0.8,0.85,0.260484953410017,0.862869124370071,0.924660645120661
"162",0.869301115868934,1,0.8,0.875,0.195215486660536,0.871500396537231,0.920096176726134
"163",0.780304146072379,1,0.8,0.9,0.0868908294692955,0.885112718878083,0.914479924608076
"164",0.69467046757101,1,0.8,0.925,0,NA,0.928066972165492
"165",0.607956831911769,1,0.8,0.95,0,NA,0.957921021708603
"166",3.94715387554275,1.5,0.8,0.6,0.442566208139335,0.864779053859876,0.880079962464068
"167",3.13834420066129,1.5,0.8,0.625,0.485522261208757,0.860753625741761,0.878243491719734
"168",2.59524236883453,1.5,0.8,0.65,0.52487257234646,0.85782756761817,0.878930877476269
"169",2.20379754343486,1.5,0.8,0.675,0.546218524923446,0.855568079078197,0.878680818181689
"170",1.90693940178649,1.5,0.8,0.7,0.561860470622155,0.854910383324808,0.880259804098163
"171",1.6729118528206,1.5,0.8,0.725,0.556860995996862,0.855640563534142,0.880047889685163
"172",1.4826022185056,1.5,0.8,0.75,0.537379928409048,0.858767340906756,0.878527887906022
"173",1.32377562678085,1.5,0.8,0.775,0.502399988093395,0.86491958015351,0.875246185197246
"174",1.18818294989389,1.5,0.8,0.8,0.43939209161867,0.873947488897598,0.869038663828473
